Origin,Destination,Data,Oi,Dj,Dij
AT11,AT11,0,4016,5146,0
AT11,AT12,1131,4016,25741,103
AT11,AT13,1887,4016,26980,84
AT11,AT21,69,4016,4117,221
AT11,AT22,738,4016,8634,132
AT11,AT31,98,4016,8193,215
AT11,AT32,31,4016,4902,247
AT11,AT33,43,4016,3952,391
AT11,AT34,19,4016,1910,505
AT12,AT11,1633,20080,5146,103
AT12,AT12,0,20080,25741,0
AT12,AT13,14055,20080,26980,46
AT12,AT21,416,20080,4117,217
AT12,AT22,1276,20080,8634,130
AT12,AT31,1850,20080,8193,141
AT12,AT32,388,20080,4902,201
AT12,AT33,303,20080,3952,344
AT12,AT34,159,20080,1910,454
AT13,AT11,2301,29142,5146,84
AT13,AT12,20164,29142,25741,46
AT13,AT13,0,29142,26980,0
AT13,AT21,1080,29142,4117,250
AT13,AT22,1831,29142,8634,159
AT13,AT31,1943,29142,8193,186
AT13,AT32,742,29142,4902,244
AT13,AT33,674,29142,3952,288
AT13,AT34,407,29142,1910,498
AT21,AT11,85,4897,5146,221
AT21,AT12,379,4897,25741,217
AT21,AT13,1597,4897,26980,250
AT21,AT21,0,4897,4117,0
AT21,AT22,1608,4897,8634,92
AT21,AT31,328,4897,8193,152
AT21,AT32,317,4897,4902,93
AT21,AT33,469,4897,3952,195
AT21,AT34,114,4897,1910,306
AT22,AT11,762,8487,5146,132
AT22,AT12,1110,8487,25741,130
AT22,AT13,2973,8487,26980,159
AT22,AT21,1252,8487,4117,62
AT22,AT22,0,8487,8634,0
AT22,AT31,1081,8487,8193,125
AT22,AT32,622,8487,4902,122
AT22,AT33,425,8487,3952,262
AT22,AT34,262,8487,1910,376
AT31,AT11,196,10638,5146,215
AT31,AT12,2027,10638,25741,141
AT31,AT13,3498,10638,26980,186
AT31,AT21,346,10638,4117,152
AT31,AT22,1332,10638,8634,125
AT31,AT31,0,10638,8193,0
AT31,AT32,2144,10638,4902,82
AT31,AT33,821,10638,3952,208
AT31,AT34,274,10638,1910,315
AT32,AT11,49,5790,5146,247
AT32,AT12,378,5790,25741,201
AT32,AT13,1349,5790,26980,244
AT32,AT21,310,5790,4117,93
AT32,AT22,851,5790,8634,122
AT32,AT31,2117,5790,8193,82
AT32,AT32,0,5790,4902,0
AT32,AT33,630,5790,3952,145
AT32,AT34,106,5790,1910,259
AT33,AT11,87,4341,5146,391
AT33,AT12,424,4341,25741,344
AT33,AT13,978,4341,26980,388
AT33,AT21,490,4341,4117,195
AT33,AT22,670,4341,8634,262
AT33,AT31,577,4341,8193,208
AT33,AT32,546,4341,4902,145
AT33,AT33,0,4341,3952,0
AT33,AT34,569,4341,1910,114
AT34,AT11,33,2184,5146,505
AT34,AT12,128,2184,25741,454
AT34,AT13,643,2184,26980,498
AT34,AT21,154,2184,4117,306
AT34,AT22,328,2184,8634,376
AT34,AT31,199,2184,8193,315
AT34,AT32,112,2184,4902,259
AT34,AT33,587,2184,3952,114
AT34,AT34,0,2184,1910,0
